Error_v1,Error_v2
6.8293074648,1.8200190379
6.8229352318,1.8183914677
6.8097903408,1.8167961734
6.7981848549,1.8152049844
6.7882954178,1.8136140236
6.7762724773,1.8120452184
6.764298524,1.8104673127
6.7579421673,1.808866217
6.7546915141,1.8071819605
6.7425471233,1.8054995495
6.731511032,1.8038031182
6.721721133,1.8020881063
6.7092403774,1.8004207714
6.6973715707,1.7987607012
6.684630751,1.7971174666
6.6747641261,1.7954654208
6.6634262058,1.7938512723
6.6504084863,1.7922657158
6.6408259829,1.7906538178
6.6311038078,1.7890303161
6.6201756526,1.7874136292
6.614642351,1.7857858146
6.6057761917,1.7841340655
6.594286387,1.7824930806
6.5851971404,1.7808199618
6.5731083538,1.7791611385
6.5603536877,1.7775037614
6.5481920472,1.7758466524
6.5412680582,1.7741352708
6.5316383427,1.7724452543
6.5221961216,1.7707314851
6.5093996613,1.7690267118
6.4978550661,1.7673168836
6.4868838026,1.7656006805
6.480725556,1.7638556495
6.4693230774,1.7621382884
6.4571742556,1.760431334
6.4490650976,1.7586880331
6.4435285047,1.7568891308
6.4325331346,1.7550810146
6.4232609739,1.753249818
6.4150686893,1.7513784702
6.4051298734,1.7494847265
6.3932497872,1.7476002426
6.3845078922,1.7456946736
6.373525946,1.7437812061
6.3611098586,1.741870033
6.3485095775,1.7399638301
6.3363399742,1.7380716353
6.3321130657,1.7361101432
6.3196398824,1.7341533923
6.3128660375,1.7321561938
6.3004970886,1.7301848047
6.2899398919,1.7282549944
6.2790091112,1.7263217084
6.2738076555,1.7243446357
6.2618349139,1.7223627519
6.2579061128,1.7203039957
6.2532685379,1.7181885973
6.2417445112,1.7161213719
6.2332066682,1.7140731731
6.2248263047,1.7120372292
6.2145595051,1.7099812765
6.2100184669,1.7079120008
6.1998066205,1.7058398683
6.189362589,1.7037547135
6.1832859252,1.7016230931
6.1725603247,1.6995398641
6.1625199819,1.6974462061
6.1501518513,1.6953544926
6.1413704332,1.693238684
6.1323915695,1.6911165786
6.1236958722,1.6889679664
6.113926422,1.6868317706
6.1024456468,1.6846916032
6.0946070317,1.6825559444
6.0826193493,1.6804338224
6.0769444916,1.6782807563
6.0698940517,1.6761287451
6.0592174837,1.6739683195
6.0532239349,1.6717689884
6.0419694526,1.6696429147
6.0298006951,1.6675410362
6.017607406,1.6654500732
6.0070841306,1.6633784248
5.998663411,1.6612991011
5.9902446093,1.6591890369
5.9867586279,1.6570027568
5.9828620656,1.6547653384
5.9774538885,1.6524667781
5.9653295779,1.6501982622
5.9549669245,1.6479264479
5.9532286855,1.6455593887
5.9474192753,1.6431373683
5.9396972901,1.6406742545
5.9319974938,1.6381870019
5.920280193,1.6357014893
5.9089855869,1.6332403414
5.897283622,1.6307781213
5.8858082469,1.6283191874
5.8760150299,1.6258642876
5.8691935034,1.623375273
5.8658164997,1.6208076673
5.8562772962,1.618231764
5.8473308752,1.6156509971
5.8352608285,1.6130763783
5.8239067016,1.6105471581
5.8126723967,1.6080120608
5.8121297977,1.6054025762
5.8017512057,1.602798759
5.792220781,1.6002311803
5.7850150661,1.5976230288
5.7744493322,1.5950276023
5.7626320617,1.5924540139
5.7571782075,1.5898200107
5.745298959,1.5871911087
5.7345765659,1.5845797481
5.7239631992,1.581980367
5.7154220914,1.5793908075
5.7058478066,1.5767840582
5.6953231808,1.5742417418
5.6873754705,1.5716750716
5.6802403247,1.5690747906
5.6683737807,1.5665045726
5.6565537457,1.5639373624
5.6460328683,1.5614149318
5.6380531008,1.55886138
5.6324245806,1.5562631738
5.6238694806,1.5536365337
5.6125956094,1.5510293748
5.6030209721,1.5484251571
5.5956293323,1.5457996234
5.5850061326,1.543164042
5.574421784,1.5405305656
5.5694230443,1.5378814284
5.557713563,1.5352434871
5.5474190626,1.5326005677
5.5383369988,1.5299605828
5.5299030151,1.527291328
5.5248203518,1.5245689225
5.5136132127,1.521845036
5.5021102046,1.5191471284
5.4915655283,1.5164600613
5.4813859987,1.5137822909
5.4728455352,1.5110830693
5.46469766,1.5083542377
5.4531038362,1.5056301621
5.4483878813,1.5028545449
5.4380465109,1.5000890731
5.4327841452,1.4972831234
5.4214519837,1.4944858552
5.4133283934,1.4916777175
5.4042119331,1.4888457443
5.3949921584,1.486018736
5.3842443823,1.4832039687
5.3777696744,1.4803819489
5.3707373199,1.477547524
5.3641242411,1.474675865
5.3592272366,1.4717589752
5.3502165129,1.4688303851
5.3384678105,1.4659138515
5.3271371823,1.4630158194
5.3220882557,1.4600715407
5.3108662344,1.4571574058
5.2999207475,1.4542797485
5.2886232795,1.4514551926
5.2779380089,1.448688434
5.2688075607,1.4459049486
5.261747076,1.4431198292
5.2509903921,1.4403731664
5.2403335672,1.4376354036
5.2286234657,1.4349113771
5.2170330489,1.4321927392
5.205542328,1.429498662
5.2005281642,1.4267618614
5.1887879452,1.4240641111
5.1803889274,1.4213421971
5.1706570129,1.4186429389
5.1611763471,1.4159302189
5.1523379102,1.4132037076
5.1427535419,1.4104694021
5.1341421495,1.4077154674
5.1281603066,1.4049388574
5.1167396954,1.4022231047
5.1097722032,1.399513289
5.1004096259,1.3967962257
5.0922426245,1.3940929029
5.0842077048,1.3913779572
5.0835259286,1.3885691346
5.0732674045,1.3857743059
5.0640508393,1.3829714874
5.058362417,1.3801264365
5.0568791482,1.3772092
5.048859664,1.3743216656
5.0442745883,1.3713763689
5.0336854758,1.3684431744
5.0241536981,1.3655045923
5.0129788838,1.3625680507
5.0045452222,1.3596227386
4.9935574723,1.3566790746
4.9827992576,1.3537314428
4.9721682465,1.3507891271
4.9607093182,1.3478604754
4.9528861123,1.3449006969
4.943983234,1.341939489
4.9335521307,1.3389939796
4.9295732316,1.3359830539
4.924525681,1.3329573523
4.9141072242,1.3299328251
4.9043089162,1.3269051243
4.8944891313,1.3238684008
4.8862674943,1.3208083785
4.877820204,1.3177512811
4.8680428283,1.3147154478
4.8575274921,1.3117053681
4.8479329551,1.3087084632
4.843450456,1.3056732582
4.8338493333,1.3026449714
4.8237649495,1.29962648
4.8144318375,1.2966013912
4.8063147085,1.2935488753
4.7990134468,1.2904832611
4.7924594894,1.2873770818
4.7816020612,1.2842858212
4.7759034666,1.281167177
4.7645930992,1.2781094036
4.7553968268,1.275045884
4.7465897468,1.2719753945
4.7383725905,1.2689174459
4.7294881412,1.2658578746
4.71880469,1.2627967561
4.7091203256,1.2597356375
4.699241248,1.2566947847
4.6879411999,1.2536754696
4.6768672475,1.2506586927
4.666307948,1.2476659428
4.6584100508,1.2446492786
4.6522132363,1.2415924158
4.6414080778,1.2385607986
4.6310717265,1.235566884
4.6204304173,1.2325964296
4.612976023,1.2295966687
4.6052169365,1.2265716886
4.5950340924,1.2235599012
4.5840588641,1.2205571051
4.577581709,1.217518353
4.5663916038,1.214503452
4.5575077008,1.2115141254
4.5508009379,1.208504724
4.5415418614,1.2054845544
4.5321940014,1.2024531657
4.5215592972,1.1994503516
4.5114567917,1.1964562091
4.5070994473,1.1934195091
4.4987019755,1.1904041721
4.49533605,1.1873227402
4.4861883773,1.1842489654
4.4798917076,1.1811468876
4.4747070106,1.178009561
4.4675838016,1.1748480395
4.4580405175,1.1716796794
4.4500345959,1.1684923184
4.4457038856,1.1652572275
4.4466125756,1.1619417523
4.4377100938,1.1586147055
4.42886164,1.1553526494
4.4190032085,1.1521041358
4.4125255071,1.1488268437
4.4040445613,1.1455746776
4.3971303183,1.1422967909
4.3861307458,1.139043003
4.3783774906,1.1357701525
4.3724114507,1.1324685314
4.3707127989,1.1290903691
4.36960809,1.1256404638
4.3627160878,1.1221624299
4.3544589351,1.1186704629
4.3522452676,1.1151088901
4.3413170752,1.1115550012
4.3308693362,1.108006662
4.3233229598,1.1044331592
4.3129925045,1.1008827763
4.3109056571,1.0972601585
4.3001919197,1.0936415615
4.2946828256,1.0899899935
4.2935092006,1.0862879103
4.2875631955,1.0825472259
4.2784862727,1.0787982376
4.2689300317,1.0750480314
4.2591262326,1.0713306381
4.2483757348,1.0676497525
4.2374906651,1.0639843366
4.2338346765,1.0602563428
4.2265905948,1.0565137325
4.2190180161,1.0527789912
4.2174933773,1.048981336
4.2084336777,1.0451839605
4.198760147,1.0413882662
4.1925711737,1.0375588606
4.1851927638,1.0337066052
4.1747930071,1.0298786223
4.1663537927,1.0260441732
4.1563068639,1.0222065905
4.1456489532,1.0184087387
4.1355122737,1.0146104663
4.1289814063,1.0108130484
4.1238720321,1.0069693961
4.1161706292,1.0031876128
4.1077192298,0.999392043
4.0989462115,0.995608345
4.0930475307,0.9918044438
4.0833818643,0.9879997426
4.0728525856,0.9842029689
4.0673632188,0.9803985288
4.0590172547,0.9765758225
4.0493288751,0.9728002702
4.0421465258,0.9690024115
4.0351581611,0.9651848833
4.0307238068,0.961366939
4.0211053672,0.9575507538
4.0113193972,0.953754717
4.0010462357,0.9499790394
3.9904529974,0.9462116084
3.9844393848,0.9424258175
3.9760443537,0.9386633958
3.967118671,0.9348954696
3.9579560464,0.9311809709
3.9475794463,0.9275267389
3.9398515772,0.9238554673
3.9307247545,0.9202137889
3.921912809,0.9165675017
3.911841611,0.9129314115
3.9057067972,0.9092676683
3.9015831735,0.905575751
3.8950605186,0.9018721175
3.8851057585,0.8981874392
3.8774570488,0.8944959125
3.8685305445,0.8908128086
3.8588797279,0.887131428
3.8546140566,0.8834046212
3.8444980476,0.8797430608
3.8342127569,0.8761155535
3.8261041974,0.8724719442
3.8178714471,0.8688514801
3.8075557967,0.8652360757
3.7975894137,0.8616243137
3.7892809064,0.8579981358
3.7827257236,0.8543578237
3.7743021645,0.8507172476
3.7653675593,0.8470710373
3.757606093,0.8434310557
3.750533284,0.8397655838
3.740391369,0.8361117147
3.7315213203,0.8324535774
3.7219874574,0.8288355919
3.7136940649,0.8252062386
3.7109724432,0.8215404982
3.703909506,0.8179153876
3.6940512807,0.8143004846
3.6847571844,0.8106858868
3.6751409796,0.807083346
3.6688282073,0.8034613638
3.6635033572,0.7997967793
3.6567179801,0.796105478
3.648386787,0.7924424359
3.6419424778,0.7887561279
3.6359183217,0.78506783
3.6298470127,0.7813784908
3.6226601528,0.7776797534
3.6133631464,0.7739783337
3.6075865974,0.7702396474
3.5985731437,0.7665270757
3.589329564,0.7628127757
3.5821134948,0.7590981632
3.5742017487,0.7554304733
3.5676555363,0.7517403028
3.5581543863,0.7480600705
3.5486318462,0.7443806482
3.5390821162,0.7407195709
3.5308584458,0.7370497265
3.5239598047,0.7333785373
3.5152452728,0.7296986731
3.5076390329,0.7260002901
3.4980622149,0.7223017379
3.4899677246,0.7185966639
3.4819660341,0.7148832746
3.4722774793,0.7111734985
3.4656736655,0.7074807829
3.4582246391,0.7038565204
3.4485992076,0.7002845409
3.439276364,0.696735379
3.4292077527,0.6932057529
3.4199535771,0.6896729845
3.4143215294,0.6861061056
3.4064805516,0.6825720383
3.3995978597,0.6791077921
3.3997887825,0.6755657911
3.3959931523,0.6720430218
3.3866863351,0.6686395011
3.3776062746,0.6652789335
3.368960343,0.6619610853
3.3623736345,0.6586317119
3.3531314642,0.6554208652
3.3431288439,0.652239415
3.3348356701,0.6490482205
3.3283189865,0.6458827721
3.3186612709,0.6428362166
3.3159427761,0.6398158277
3.3081338369,0.6368769438
3.3050011783,0.6339741764
3.30103708,0.6311136993
3.2935668118,0.6283123889
3.2838493492,0.6256068042
3.2753727837,0.6229427535
3.2658158959,0.6203814887
3.262819653,0.617779778
3.2610607001,0.6151650005
3.2512406159,0.6125842454
3.2436404192,0.6100734485
3.2341963333,0.6076210827
3.2282448056,0.6052190758
3.2251264508,0.6028750291
3.2155063917,0.600576927
3.2068802149,0.5983679943
3.1990687294,0.5962494974
3.1913737932,0.5942134025
3.1866895298,0.5921739393
3.179928479,0.5902281426
3.1746240344,0.5883372736
3.1661797469,0.5865424053
3.1655924481,0.5847867874
3.1576263825,0.5831143761
3.1543047508,0.581492809
3.1529525537,0.5799121553
3.1464790535,0.5783509882
3.1384853917,0.5768644009
3.132657696,0.5754125929
3.1235065129,0.5740633058
3.1169802831,0.572770346
3.1080365614,0.5715799428
3.0986893316,0.5705105126
3.0892626407,0.5695578285
3.0851179247,0.5686776122
3.0790389294,0.567863038
3.0704043396,0.5670935309
3.0634742994,0.5663630458
3.0558125646,0.5657265819
3.0499615604,0.5651585761
3.0408446953,0.5647043029
3.0332930218,0.5643493919
3.0245576242,0.5640866814
3.0244767862,0.5637602416
3.0157411557,0.5634907582
3.0069993992,0.5633103432
3.0026000825,0.5631566821
2.9936373455,0.5631084427
2.9867481263,0.5631546382
2.981269946,0.5632858025
2.9719008099,0.5635214575
2.9622920707,0.563874694
2.9556550791,0.5642771703
2.951367443,0.564747541
2.944005182,0.5652708494
2.9370110749,0.5658096893
2.9277971369,0.5663991973
2.9189153081,0.5671055116
2.9131918037,0.5678931376
2.9047648713,0.5687683054
2.8994863072,0.5696875689
2.8913904621,0.5706655386
2.8859697934,0.5716399444
2.8766610313,0.5727308272
2.8676511701,0.5739171697
2.8606196899,0.575197361
2.8529331515,0.5765800289
2.8437108867,0.578029318
2.838514044,0.5794903756
2.82951128,0.5810267691
2.8210243675,0.5826493934
2.8210274809,0.5842781069
2.8181340665,0.5859581013
2.8088058591,0.5876847328
2.7995388582,0.5894899836
2.798272167,0.5912988162
2.7903002509,0.5931276378
2.7825510828,0.5950140729
2.7755872793,0.5969581481
2.7666054283,0.5990007541
2.7593003535,0.6010808695
2.750197373,0.6032413675
2.7413007323,0.605445279
2.7347287878,0.6076875646
2.7286351619,0.6100054128
2.7194470977,0.6124011251
2.7123266421,0.6148660328
2.7035479126,0.6173930299
2.6967889862,0.6199597471
2.6897131027,0.6225783107
2.6885660444,0.6252255144
2.6865972445,0.6279076999
2.6797374237,0.6306618767
2.6758428948,0.6334332339
2.6737176907,0.636248505
2.6664123115,0.6391313376
2.6596230186,0.6419917314
2.654570657,0.6448117376
2.6476704583,0.6476622165
2.6390140371,0.6505977875
2.6312190215,0.6536108518
2.6225475449,0.656670453
2.6250153145,0.6597191348
2.6174236597,0.6627542208
2.6086921334,0.6657923988
2.6013100444,0.6688295524
2.5957158855,0.6718471067
2.5866049921,0.6749815978
2.582332161,0.6781207605
2.5778004595,0.6813161549
2.5694047925,0.6845055406
2.5616198867,0.6876904334
2.5579658249,0.6908714943
2.549408241,0.6941179407
2.5405426261,0.6973847067
2.5322221282,0.7006645075
2.5238390976,0.7040075044
2.5151058601,0.7073655078
2.516203808,0.7106477316
2.5142352223,0.7139699725
2.5112136616,0.7173033258
2.5032995322,0.7206320252
2.4982585486,0.7239230615
2.4954288141,0.7272603807
2.4863158759,0.7306097893
2.4783588851,0.7339732978
2.4710313965,0.7373256227
2.468083783,0.740629341
2.4646222551,0.7438804795
2.4568071555,0.7471234322
2.4511186185,0.7503341902
2.4424700117,0.7535454751
2.4395461434,0.7566997628
2.4318948794,0.7598473357
2.4279695238,0.7629450439
2.4192151992,0.7660376926
2.4141246116,0.7690922698
2.4055413904,0.7721594175
2.4020343969,0.7751890615
2.3963589814,0.7781900493
2.3886246089,0.7811933987
2.3798123848,0.7842232996
2.3742173467,0.7872575245
2.3694167094,0.7902708781
2.3648924093,0.7932512276
2.357214893,0.7962355477
2.3488391425,0.7992432871
2.3420262023,0.8022541665
2.3347214613,0.8052515383
2.3287698488,0.8082350807
2.3242761302,0.8111931741
2.3180772762,0.8141515892
2.3132009597,0.8170760887
2.3091727491,0.8199523891
2.3010770215,0.8228182724
2.2991913792,0.8256167998
2.2959587334,0.8283796839
2.2916089497,0.8311169124
2.2833424885,0.8338453935
2.2765666516,0.8365786576
2.2681013403,0.8393252897
2.2593361097,0.8420796293
2.2509664028,0.8448271822
2.2451199263,0.8475472401
2.2455877298,0.8502108645
2.2402846985,0.8528465819
2.231690268,0.8554952105
2.2241735193,0.8581738954
2.2154415236,0.8608574654
2.2076962756,0.8635595127
2.2023191354,0.8662429519
2.1954187785,0.868914843
2.1886193958,0.8715857597
2.1804304899,0.8742601216
2.1756079132,0.8768983837
2.168314267,0.8795462851
2.1621090415,0.8821868291
2.1553177555,0.8848522638
2.1563748933,0.8874313136
2.1478852429,0.8900157725
2.1414341746,0.8926139833
2.1380909425,0.8951717816
2.1337606887,0.8976885643
2.1254548572,0.9001992548
2.1178135082,0.9027655403
2.1101362523,0.9053220621
2.103136782,0.9078615162
2.0957969327,0.9104144426
2.0885515482,0.9129569322
2.0837095364,0.9154909111
2.0833421245,0.9179555907
2.0787883328,0.9203996107
2.0705162866,0.9228430391
2.0659667199,0.9252626184
2.0639780327,0.9276482458
2.0606286998,0.9300027688
2.0575428521,0.9323059138
2.0552561606,0.9345721277
2.0477787657,0.9368440997
2.0430071804,0.9390973196
2.0354080972,0.9413502157
2.0313948122,0.9435969157
2.0247223913,0.9458457662
2.0164617778,0.9481104839
2.0105601462,0.9503650324
2.004961669,0.9525927682
2.0025449678,0.9547841121
1.996502802,0.9569702217
1.9927777819,0.9591327136
1.9860811455,0.9613055323
1.9798362576,0.9634903272
1.9738007267,0.9656798021
1.9690873122,0.9678750821
1.9612981103,0.9701043276
1.9557163256,0.9723046164
1.9484888663,0.9745035052
1.9421885162,0.9766849173
1.9393063392,0.9788268433
1.9331419112,0.9809532557
1.924947232,0.9830860015
1.9180862114,0.9852062121
1.9110935832,0.9873345025
1.913323399,0.9893609845
1.9050714814,0.991449521
1.8976359554,0.9935413208
1.8909850095,0.9956625316
1.8832492467,0.9978098345
1.8760543822,0.9999542863
1.8717728039,1.0021437343
1.8648173868,1.004318907
1.8571179732,1.0064905584
1.8488784158,1.0086959315
1.8414348101,1.0109233569
1.8335414324,1.0131597968
1.8262646673,1.0153835041
1.8196822541,1.0176027353
1.8151169243,1.0197894402
1.8109308708,1.0219479001
1.8027742833,1.0241055605
1.8008578152,1.0262113781
1.7932177791,1.0283604873
1.7932338569,1.0304417258
1.7871727256,1.0325296577
1.7811162332,1.0345983649
1.7728616459,1.0366737931
1.7662844885,1.0387369246
1.7635232127,1.0407508818
1.7572793947,1.0427663508
1.7502788377,1.0447703242
1.7434420428,1.0467653161
1.7418083048,1.0487655714
1.7349163192,1.0507667524
1.7273692472,1.0527791817
1.722083458,1.0547865056
1.7173108363,1.0568022186
1.7103816395,1.0588257981
1.7049836785,1.0608658051
1.6970010917,1.0629091376
1.691991138,1.0649227626
1.685498535,1.0669410288
1.6807931837,1.0689321649
1.6772096286,1.0709035959
1.6712653775,1.0728700943
1.6645645839,1.0748432109
1.6593367029,1.0768031675
1.6522965553,1.0787548015
1.6449479536,1.0806991418
1.6392805718,1.0826305421
1.6370249732,1.0845348779
1.6307509419,1.0864454917
1.6290561382,1.0883127097
1.6226813133,1.0901892234
1.6159378213,1.0920589664
1.6094370098,1.0939287038
1.6018489756,1.095793557
1.5985236564,1.0976376592
1.5946515126,1.0994501348
1.5884371024,1.1012588038
1.586580319,1.103018989
1.5785718198,1.1047835028
1.5707326045,1.1065742481
1.5640119668,1.1083555595
1.5575516814,1.1101205073
1.560834799,1.1117791964
1.5528108132,1.1134377329
1.5459091496,1.1150992673
1.5382564722,1.1167596349
1.532090612,1.1184028423
1.5279899545,1.1200236904
1.5207871661,1.1216410443
1.5128309808,1.123291676
1.5102690269,1.1248990545
1.5030414996,1.1265082783
1.498838142,1.1280996153
1.4933072911,1.1296691186
1.4870006538,1.1312709479
1.4853325892,1.1328137988
1.4781491719,1.1343729473
1.4705592634,1.1359319595
1.4665209866,1.1375031767
1.4586732066,1.1390767069
1.4512913121,1.1406430881
1.4448197286,1.142193933
1.4405404612,1.1437234058
1.4331165083,1.145259185
1.4253864492,1.1468009498
1.4179168205,1.1483492058
1.417753515,1.1498299349
1.4106741683,1.1513135342
1.4064145902,1.1527982041
1.4018551706,1.1542552057
1.4035254517,1.155642075
1.4017675086,1.1570065172
1.3984645983,1.1583429171
1.3916246245,1.1596712967
1.3840918,1.1609962275
1.377244196,1.1623276284
1.3750897002,1.1636462318
1.3683176612,1.1649795205
1.3672429907,1.1662615686
1.3642138421,1.1675466918
1.3591794354,1.1688197477
1.3571685255,1.1700655558
1.355744893,1.1712613278
1.3496865437,1.1724407871
1.3440823647,1.1736006507
1.3442871029,1.1746854832
1.347312514,1.1756975435
